Week, hot, hot (std error), cold, cold (std error)
Jan 4 2004, 1.00, 2%, 0.30, 2%
Jan 11 2004, 0.97, 2%, 0.28, 2%
Jan 18 2004, 1.04, 2%, 0.28, 2%
Jan 25 2004, 1.02, 2%, 0.29, 2%
Feb 1 2004, 0.97, 2%, 0.25, 3%
Feb 8 2004, 0.96, 2%, 0.25, 3%
Feb 15 2004, 0.97, 2%, 0.26, 2%
Feb 22 2004, 0.94, 2%, 0.27, 2%
Feb 29 2004, 0.95, 2%, 0.27, 3%
Mar 7 2004, 1.01, 2%, 0.24, 3%
Mar 14 2004, 0.96, 2%, 0.23, 3%
Mar 21 2004, 1.00, 2%, 0.24, 3%
Mar 28 2004, 0.97, 2%, 0.24, 3%
Apr 4 2004, 1.00, 2%, 0.23, 3%
Apr 11 2004, 0.96, 2%, 0.22, 3%
Apr 18 2004, 0.95, 2%, 0.23, 3%
Apr 25 2004, 0.97, 2%, 0.23, 3%
May 2 2004, 0.97, 2%, 0.24, 3%
May 9 2004, 0.92, 2%, 0.22, 3%
May 16 2004, 0.98, 2%, 0.22, 3%
May 23 2004, 0.95, 2%, 0.21, 3%
May 30 2004, 0.99, 2%, 0.21, 3%
Jun 6 2004, 1.00, 2%, 0.21, 3%
Jun 13 2004, 1.05, 2%, 0.19, 3%
Jun 20 2004, 0.99, 2%, 0.19, 3%
Jun 27 2004, 1.01, 2%, 0.20, 3%
Jul 4 2004, 0.99, 2%, 0.20, 3%
Jul 11 2004, 1.00, 2%, 0.21, 3%
Jul 18 2004, 0.96, 2%, 0.20, 3%
Jul 25 2004, 1.00, 2%, 0.21, 3%
Aug 1 2004, 0.99, 2%, 0.19, 3%
Aug 8 2004, 1.01, 2%, 0.20, 3%
Aug 15 2004, 0.99, 2%, 0.19, 3%
Aug 22 2004, 1.00, 2%, 0.19, 3%
Aug 29 2004, 0.98, 2%, 0.19, 3%
Sep 5 2004, 0.96, 2%, 0.19, 3%
Sep 12 2004, 0.93, 2%, 0.20, 3%
Sep 19 2004, 0.94, 2%, 0.21, 3%
Sep 26 2004, 0.96, 2%, 0.21, 3%
Oct 3 2004, 0.94, 2%, 0.21, 3%
Oct 10 2004, 0.96, 2%, 0.21, 3%
Oct 17 2004, 0.93, 2%, 0.21, 3%
Oct 24 2004, 0.94, 2%, 0.21, 3%
Oct 31 2004, 0.97, 2%, 0.21, 3%
Nov 7 2004, 1.02, 2%, 0.22, 3%
Nov 14 2004, 1.02, 2%, 0.22, 3%
Nov 21 2004, 0.99, 2%, 0.20, 3%
Nov 28 2004, 1.01, 2%, 0.23, 3%
Dec 5 2004, 1.08, 2%, 0.25, 2%
Dec 12 2004, 1.05, 2%, 0.24, 3%
Dec 19 2004, 1.13, 2%, 0.26, 2%
Dec 26 2004, 1.07, 2%, 0.23, 3%
Jan 2 2005, 1.01, 2%, 0.24, 3%
Jan 9 2005, 0.98, 2%, 0.23, 3%
Jan 16 2005, 1.00, 2%, 0.24, 3%
Jan 23 2005, 1.06, 2%, 0.23, 3%
Jan 30 2005, 1.03, 2%, 0.22, 3%
Feb 6 2005, 1.03, 2%, 0.22, 3%
Feb 13 2005, 0.99, 2%, 0.21, 3%
Feb 20 2005, 0.99, 2%, 0.23, 3%
Feb 27 2005, 0.99, 2%, 0.23, 3%
Mar 6 2005, 0.99, 2%, 0.23, 3%
Mar 13 2005, 0.98, 2%, 0.22, 3%
Mar 20 2005, 1.02, 2%, 0.22, 3%
Mar 27 2005, 1.03, 2%, 0.23, 3%
Apr 3 2005, 0.99, 2%, 0.23, 3%
Apr 10 2005, 0.97, 2%, 0.22, 3%
Apr 17 2005, 1.02, 2%, 0.23, 3%
Apr 24 2005, 1.01, 2%, 0.24, 3%
May 1 2005, 1.05, 2%, 0.25, 3%
May 8 2005, 1.01, 2%, 0.24, 3%
May 15 2005, 1.02, 2%, 0.22, 3%
May 22 2005, 1.06, 2%, 0.22, 3%
May 29 2005, 1.05, 2%, 0.22, 3%
Jun 5 2005, 1.03, 2%, 0.22, 3%
Jun 12 2005, 1.06, 2%, 0.21, 3%
Jun 19 2005, 1.07, 2%, 0.21, 3%
Jun 26 2005, 1.05, 2%, 0.20, 3%
Jul 3 2005, 1.06, 2%, 0.19, 3%
Jul 10 2005, 1.22, 2%, 0.20, 3%
Jul 17 2005, 1.26, 2%, 0.19, 3%
Jul 24 2005, 1.18, 2%, 0.20, 3%
Jul 31 2005, 1.13, 2%, 0.19, 3%
Aug 7 2005, 1.13, 2%, 0.19, 3%
Aug 14 2005, 1.10, 2%, 0.19, 3%
Aug 21 2005, 1.06, 2%, 0.19, 3%
Aug 28 2005, 1.00, 2%, 0.18, 3%
Sep 4 2005, 0.99, 2%, 0.18, 3%
Sep 11 2005, 0.99, 2%, 0.20, 3%
Sep 18 2005, 1.02, 2%, 0.20, 3%
Sep 25 2005, 0.97, 2%, 0.20, 3%
